대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수
계,강남구,2000,794.1,377.0,207.0,170.0,32.3,384.8,,,,
계,강남구,2001,799.0,510.7,242.1,268.6,158.7,129.6,,,,
계,강남구,2002,861.3,567.9,295.0,272.9,162.8,130.6,,,,
계,강남구,2003,874.9,556.8,267.3,289.5,169.5,148.6,,,,
계,강남구,2004,835.0,541.4,242.4,299.0,168.0,125.6,,,,
계,강남구,2005,823.6,542.7,237.5,305.2,212.5,68.4,,,,
계,강남구,2006,800.4,520.4,209.9,310.5,233.4,46.6,,,,
계,강남구,2007,837.9,530.8,200.9,329.9,246.3,60.8,,,,
계,강남구,2008,942.9,581.5,239.7,341.8,193.1,168.3,,,,
계,강남구,2009,978.7,605.1,263.3,341.8,197.6,176.0,,1.72,978.7,569499.0
계,강남구,2010,990.5,632.2,291.9,340.3,136.6,221.7,,1.72,990.5,577070.0
계,강남구,2011,1017.3,660.5,318.0,342.5,315.7,41.1,,1.78,1017.3,573003.0
계,강남구,2012,984.9,679.8,339.8,340.0,234.7,70.4,,1.73,984.9,569997.0
계,강남구,2013,745.2,499.5,222.7,276.8,160.4,85.3,,1.31,745.2,569152.0
계,강남구,2014,808.2,556.2,213.9,342.3,143.6,108.4,,1.39,808.2,583446.0
계,강남구,2015,713.2,470.5,198.3,272.2,200.3,42.4,,1.23,713.2,581760.0
계,강남구,2016,707.2,474.7,188.9,285.8,77.0,155.5,,1.24,707.2,572140.0
계,강남구,2017,708.3,474.8,213.0,261.8,148.6,84.9,,1.26,708.3,561052.0
계,강남구,2018,677.1,445.5,176.0,269.5,204.7,26.9,,1.24,677.1,547453.0
계,강남구,2019,591.2,348.2,225.0,123.2,197.4,44.0,1.6,1.07,591.2,550209.0
계,강남구,2020,254317.0,166714.0,77982.0,88732.0,74305.0,12820.0,478.0,1.28,694.9,544055.0
계,강남구,2021,248001.0,161619.0,76884.0,84735.0,73051.0,13244.0,87.0,1.26,679.5,537800.0
계,강남구,2022,263297.0,163224.0,73249.0,89976.0,81017.0,16579.0,2477.0,1.35,721.4,534103.0
계,강남구,2023,261425.0,161437.0,75688.0,85749.0,85097.0,14630.0,262.0,1.3,716.2,550282.0
계,강남구,2024,266815.0,169222.0,88651.0,80570.0,85233.0,10546.0,1814.0,1.29,729.0,563215.0
계,강동구,2000,467.1,259.3,194.0,65.3,6.4,201.4,,,,
계,강동구,2001,505.9,301.4,222.9,78.5,7.4,197.1,,,,
계,강동구,2002,537.9,299.8,206.7,93.1,12.7,225.4,,,,
계,강동구,2003,429.2,223.3,138.3,85.0,6.4,199.5,,,,
계,강동구,2004,450.9,255.8,155.1,100.7,13.3,181.8,,,,
계,강동구,2005,437.6,281.3,168.3,113.0,16.4,139.9,,,,
계,강동구,2006,418.7,261.9,148.8,113.1,13.6,143.2,,,,
계,강동구,2007,386.2,241.0,132.0,109.0,22.8,122.4,,,,
계,강동구,2008,496.2,350.9,239.4,111.5,61.7,83.6,,,,
계,강동구,2009,426.4,288.8,171.6,117.2,57.7,79.9,,0.87,426.4,489655.0
계,강동구,2010,258.5,136.4,18.1,118.3,62.0,60.1,,0.52,258.5,496939.0
계,강동구,2011,262.7,141.2,15.2,126.0,55.3,66.2,,0.52,262.7,500516.0
계,강동구,2012,258.6,147.1,26.2,120.9,51.9,59.6,,0.52,258.6,492728.0
계,강동구,2013,246.4,131.9,10.3,121.6,52.9,61.6,,0.5,246.4,487969.0
계,강동구,2014,392.6,274.3,148.9,125.4,59.2,59.1,,0.82,392.6,481332.0
계,강동구,2015,412.4,304.6,173.1,131.5,63.3,44.5,,0.89,412.4,463321.0
계,강동구,2016,500.2,391.4,268.9,122.5,79.6,29.2,,1.12,500.2,448471.0
계,강동구,2017,375.0,279.8,165.3,114.5,74.1,21.1,,0.85,375.0,440359.0
계,강동구,2018,370.1,268.5,158.6,109.9,61.3,40.3,,0.86,370.1,431920.0
계,강동구,2019,419.9,283.1,165.5,117.6,74.9,40.9,21.0,0.95,419.9,440390.0
계,강동구,2020,134696.0,90881.0,50471.0,40410.0,26954.0,16699.0,161.0,0.79,368.0,463998.0
계,강동구,2021,146616.0,97802.0,55306.0,42496.0,20752.0,15911.0,12151.0,0.86,401.7,466472.0
계,강동구,2022,126256.0,90128.0,49478.0,40650.0,19731.0,16367.0,30.0,0.75,345.9,464037.0
계,강동구,2023,122793.0,87690.0,49144.0,38546.0,20634.0,14436.0,33.0,0.73,336.4,463318.0
계,강동구,2024,129564.0,84538.0,46483.0,38055.0,33808.0,10643.0,574.0,0.74,354.0,481474.0
계,강북구,2000,422.8,239.7,182.0,57.7,1.3,181.8,,,,
계,강북구,2001,428.5,237.5,177.7,59.8,1.3,189.7,,,,
계,강북구,2002,432.3,232.7,179.4,53.3,0.2,199.4,,,,
계,강북구,2003,387.8,191.8,153.4,38.4,1.7,194.3,,,,
계,강북구,2004,374.9,199.5,121.0,78.5,5.2,170.2,,,,
계,강북구,2005,354.0,236.6,153.4,83.2,,117.4,,,,
계,강북구,2006,350.4,235.9,155.4,80.5,6.5,108.0,,,,
계,강북구,2007,346.0,230.5,146.0,84.5,40.9,74.6,,,,
계,강북구,2008,327.3,231.8,143.5,88.3,54.2,41.3,,,,
계,강북구,2009,315.7,223.3,133.6,89.7,76.0,16.4,,0.92,315.7,343912.0
계,강북구,2010,233.4,145.4,56.9,88.5,77.2,10.8,,0.67,233.4,350007.0
계,강북구,2011,242.9,157.6,69.3,88.3,75.0,10.3,,0.7,242.9,348740.0
계,강북구,2012,242.5,164.4,74.7,89.7,76.1,2.0,,0.7,242.5,346493.0
계,강북구,2013,232.6,156.1,68.4,87.7,69.9,6.6,,0.68,232.6,341921.0
계,강북구,2014,232.0,150.3,62.6,87.7,66.2,15.5,,0.69,232.0,338410.0
계,강북구,2015,230.2,152.7,64.1,88.6,66.0,11.5,,0.69,230.2,334426.0
계,강북구,2016,230.0,154.8,70.3,84.5,67.2,8.0,,0.7,230.0,330704.0
계,강북구,2017,224.9,153.7,74.9,78.8,64.6,6.6,,0.69,224.9,328002.0
계,강북구,2018,230.6,155.4,79.5,75.9,69.1,6.1,,0.71,230.6,322915.0
계,강북구,2019,251.2,175.3,101.7,73.6,69.0,6.9,,0.79,251.2,317695.0
계,강북구,2020,88989.0,53419.0,28260.0,25158.0,32484.0,3086.0,,0.78,243.1,311569.0
계,강북구,2021,94407.0,63804.0,40369.0,23436.0,25501.0,2504.0,2597.0,0.85,258.6,302563.0
계,강북구,2022,89627.0,61272.0,38208.0,23065.0,24914.0,2157.0,1284.0,0.83,245.6,297702.0
계,강북구,2023,88886.0,62128.0,40003.0,22125.0,24499.0,2223.0,35.0,0.83,243.5,292977.0
계,강북구,2024,83607.0,57254.0,35218.0,22037.0,24101.0,2252.0,,0.79,228.4,289374.0
계,강서구,2000,532.6,256.0,215.0,41.0,6.1,270.5,,,,
계,강서구,2001,567.5,287.3,240.2,47.1,10.8,269.4,,,,
계,강서구,2002,560.3,295.7,248.3,47.4,7.4,257.2,,,,
계,강서구,2003,594.0,357.6,279.1,78.5,12.3,224.1,,,,
계,강서구,2004,510.4,299.5,186.5,113.0,11.9,199.0,,,,
계,강서구,2005,507.6,338.3,164.5,173.8,15.7,153.6,,,,
계,강서구,2006,444.5,283.3,94.6,188.7,12.5,148.7,,,,
계,강서구,2007,537.8,339.2,148.5,190.7,94.8,103.8,,,,
계,강서구,2008,520.5,378.3,173.3,205.0,88.6,53.6,,,,
계,강서구,2009,570.9,449.7,237.2,212.5,60.4,60.8,,0.99,570.9,579196.0
계,강서구,2010,671.4,450.0,235.3,214.7,77.2,144.2,,1.16,671.4,580506.0
계,강서구,2011,429.8,316.1,112.1,204.0,91.2,22.5,,0.75,429.8,575846.0
계,강서구,2012,399.1,286.1,86.5,199.6,96.8,16.2,,0.7,399.1,573794.0
계,강서구,2013,370.2,242.7,81.6,161.1,103.6,23.9,,0.64,370.2,575236.0
계,강서구,2014,436.8,305.4,135.3,170.1,102.3,29.1,,0.74,436.8,591653.0
계,강서구,2015,434.2,306.7,127.9,178.8,104.3,23.2,,0.73,434.2,595691.0
계,강서구,2016,425.3,290.8,110.9,179.9,112.2,22.3,,0.71,425.3,602104.0
계,강서구,2017,463.7,329.4,160.9,168.5,106.4,27.9,,0.76,463.7,608255.0
계,강서구,2018,480.0,336.4,173.3,163.1,115.7,27.9,,0.8,480.0,603611.0
계,강서구,2019,599.4,446.2,286.0,160.2,115.5,35.7,2.0,1.0,599.4,598273.0
계,강서구,2020,192797.0,133861.0,81134.0,52728.0,37921.0,20583.0,431.0,0.9,526.8,585901.0
계,강서구,2021,751795.0,212856.0,165418.0,47438.0,38987.0,229973.0,269979.0,3.55,2059.7,579768.0
계,강서구,2022,585756.0,274273.0,228116.0,46157.0,46052.0,22085.0,243346.0,2.79,1604.8,574638.0
계,강서구,2023,490315.0,221810.0,178033.0,43777.0,48403.0,15035.0,205068.0,2.36,1343.3,568826.0
계,강서구,2024,590910.0,270188.0,225445.0,44743.0,50371.0,14385.0,255967.0,2.87,1614.5,562194.0
계,관악구,2000,449.0,165.5,130.0,35.5,6.2,277.3,,,,
계,관악구,2001,501.2,172.9,134.1,38.8,8.4,319.9,,,,
계,관악구,2002,520.6,216.6,180.1,36.5,9.0,295.0,,,,
계,관악구,2003,563.1,280.3,238.3,42.0,12.5,270.3,,,,
계,관악구,2004,583.4,337.2,234.2,103.0,9.9,236.3,,,,
계,관악구,2005,551.0,362.2,244.4,117.8,15.6,173.2,,,,
계,관악구,2006,581.7,380.0,249.8,130.3,5.7,196.0,,,,
계,관악구,2007,569.3,387.2,253.4,133.8,13.5,168.6,,,,
계,관악구,2008,540.3,385.4,256.7,128.7,8.0,146.9,,,,
계,관악구,2009,474.4,326.0,199.9,126.1,7.0,141.4,,0.87,474.4,547311.0
계,관악구,2010,340.0,163.0,35.0,128.0,21.0,156.0,,0.62,340.0,549736.0
계,관악구,2011,321.0,157.4,36.8,120.6,7.6,156.0,,0.59,321.0,546350.0
계,관악구,2012,317.6,187.5,65.9,121.6,21.0,109.1,,0.59,317.6,540520.0
계,관악구,2013,315.5,179.9,64.5,115.4,26.8,108.8,,0.59,315.5,535128.0
계,관악구,2014,354.3,218.2,99.1,119.1,31.9,104.2,,0.67,354.3,531960.0
계,관악구,2015,337.9,209.7,92.9,116.8,30.1,98.1,,0.64,337.9,529031.0
계,관악구,2016,339.7,212.9,97.6,115.3,55.1,71.7,,0.65,339.7,525607.0
계,관악구,2017,361.8,231.4,121.2,110.2,66.6,63.8,,0.69,361.8,520929.0
계,관악구,2018,436.8,315.9,205.6,110.3,36.7,84.2,,0.84,436.8,520040.0
계,관악구,2019,434.7,313.2,221.9,91.3,37.7,83.7,0.1,0.84,434.7,517334.0
계,관악구,2020,146977.0,103521.0,69067.0,34454.0,11177.0,32279.0,,0.79,401.6,509803.0
계,관악구,2021,146143.0,87868.0,54392.0,33476.0,40409.0,17867.0,,0.8,400.4,499449.0
계,관악구,2022,161574.0,109513.0,75883.0,33630.0,32082.0,19980.0,,0.88,442.7,501226.0
계,관악구,2023,146875.0,97385.0,65990.0,31395.0,31360.0,18067.0,63.0,0.81,402.4,497883.0
계,관악구,2024,149864.0,111384.0,80526.0,30858.0,24650.0,13830.0,,0.83,409.5,495620.0
계,광진구,2000,352.8,155.0,113.0,42.0,5.1,192.7,,,,
계,광진구,2001,356.8,132.6,86.9,45.7,5.6,218.6,,,,
계,광진구,2002,475.0,247.6,202.3,45.3,7.6,219.8,,,,
계,광진구,2003,465.1,285.4,229.1,56.3,8.9,170.8,,,,
계,광진구,2004,470.6,304.7,231.7,73.0,8.1,157.8,,,,
계,광진구,2005,410.4,302.5,198.2,104.3,9.6,98.3,,,,
계,광진구,2006,437.6,308.2,204.7,103.5,13.6,115.8,,,,
계,광진구,2007,357.2,226.4,131.0,95.4,41.6,89.2,,,,
계,광진구,2008,376.3,246.4,151.3,95.1,89.4,40.5,,,,
계,광진구,2009,382.7,278.3,178.8,99.5,89.0,15.4,,0.99,382.7,386513.0
계,광진구,2010,392.3,288.6,188.5,100.1,76.0,27.7,,1.01,392.3,388775.0
계,광진구,2011,365.2,270.5,165.6,104.9,64.0,30.7,,0.94,365.2,386673.0
계,광진구,2012,368.5,276.6,163.7,112.9,68.6,23.3,,0.96,368.5,384269.0
계,광진구,2013,379.3,285.8,186.9,98.9,66.3,27.2,,0.99,379.3,381439.0
계,광진구,2014,348.9,254.6,150.1,104.5,60.2,34.1,,0.92,348.9,377375.0
계,광진구,2015,339.4,250.4,146.2,104.2,61.4,27.6,,0.9,339.4,375180.0
계,광진구,2016,326.3,240.8,138.2,102.6,64.1,21.4,,0.88,326.3,372104.0
계,광진구,2017,319.2,239.3,140.2,99.1,61.6,18.3,,0.86,319.2,372298.0
계,광진구,2018,342.5,263.3,168.2,95.1,57.5,21.7,,0.92,342.5,371063.0
계,광진구,2019,333.9,253.2,158.7,94.5,59.1,21.2,0.4,0.91,333.9,366972.0
계,광진구,2020,125579.0,87415.0,55637.0,31778.0,30325.0,7823.0,15.0,0.95,343.1,360109.0
계,광진구,2021,91428.0,62681.0,32505.0,30176.0,18288.0,10459.0,,0.71,250.5,352627.0
계,광진구,2022,120644.0,95246.0,64919.0,30328.0,16497.0,8595.0,306.0,0.94,330.5,351252.0
계,광진구,2023,104709.0,67412.0,36984.0,30428.0,29242.0,8048.0,8.0,0.82,286.9,351180.0
계,광진구,2024,107234.0,71082.0,41987.0,29096.0,27968.0,8176.0,8.0,0.84,293.0,348652.0
계,구로구,2000,351.7,168.0,112.0,56.0,41.3,142.4,,,,
계,구로구,2001,405.2,215.5,142.6,72.9,119.0,70.7,,,,
계,구로구,2002,425.9,232.1,163.0,69.1,103.1,90.7,,,,
계,구로구,2003,444.2,259.4,175.7,83.7,111.8,73.0,,,,
계,구로구,2004,385.9,227.5,142.5,85.0,112.3,46.1,,,,
계,구로구,2005,416.6,246.1,146.1,100.0,123.3,47.2,,,,
계,구로구,2006,440.3,280.3,170.9,109.4,133.8,26.2,,,,
계,구로구,2007,435.7,282.6,173.0,109.6,128.4,24.7,,,,
계,구로구,2008,441.8,295.4,181.0,114.4,128.5,17.9,,,,
계,구로구,2009,430.1,290.6,178.8,111.8,129.6,9.9,,0.96,430.1,449613.0
계,구로구,2010,308.1,170.1,62.1,108.0,129.0,9.0,,0.68,308.1,452667.0
계,구로구,2011,276.7,139.0,33.0,106.0,119.0,18.7,,0.6,276.7,458908.0
계,구로구,2012,285.7,152.4,38.8,113.6,128.8,4.5,,0.63,285.7,454478.0
계,구로구,2013,278.5,139.7,31.0,108.7,122.3,16.5,,0.62,278.5,452168.0
계,구로구,2014,322.5,186.9,70.3,116.6,118.3,17.3,,0.71,322.5,457131.0
계,구로구,2015,314.7,176.4,64.2,112.2,114.3,24.0,,0.69,314.7,454604.0
계,구로구,2016,318.2,177.2,64.3,112.9,107.4,33.6,,0.71,318.2,449600.0
계,구로구,2017,310.8,174.5,72.2,102.3,107.7,28.6,,0.7,310.8,441559.0
계,구로구,2018,319.4,172.8,76.0,96.8,119.6,27.0,,0.73,319.4,438486.0
계,구로구,2019,326.5,171.0,74.1,96.9,124.5,30.9,0.1,0.74,326.5,439371.0
계,구로구,2020,120646.0,63150.0,33108.0,30042.0,39947.0,17541.0,8.0,0.76,329.6,432488.0
계,구로구,2021,136224.0,76846.0,46994.0,29852.0,40405.0,18687.0,287.0,0.89,373.2,421163.0
계,구로구,2022,134033.0,80101.0,51349.0,28752.0,37846.0,15879.0,208.0,0.88,367.2,418418.0
계,구로구,2023,171610.0,119509.0,91264.0,28245.0,39364.0,12648.0,89.0,1.13,470.2,415651.0
계,구로구,2024,122831.0,71343.0,43017.0,28325.0,44102.0,7011.0,375.0,0.81,335.6,411916.0
계,금천구,2000,321.7,162.7,133.0,29.7,5.5,153.5,,,,
계,금천구,2001,365.4,204.7,155.0,49.7,8.3,152.4,,,,
계,금천구,2002,342.8,188.5,145.6,42.9,8.6,145.7,,,,
계,금천구,2003,342.0,199.5,146.6,52.9,10.4,132.1,,,,
계,금천구,2004,324.7,192.0,139.7,52.3,5.9,126.8,,,,
계,금천구,2005,312.7,207.1,142.3,64.8,5.1,100.5,,,,
계,금천구,2006,302.1,193.8,127.6,66.2,9.0,99.3,,,,
계,금천구,2007,316.8,200.9,128.8,72.1,22.1,93.8,,,,
계,금천구,2008,222.3,133.6,55.2,78.4,4.5,84.2,,,,
계,금천구,2009,272.8,192.0,112.9,79.1,6.0,74.8,,1.04,272.8,263116.0
계,금천구,2010,196.7,136.5,56.4,80.1,5.6,54.6,,0.74,196.7,264544.0
계,금천구,2011,221.2,128.1,48.3,79.8,6.7,86.4,,0.84,221.2,264256.0
계,금천구,2012,223.5,137.2,61.8,75.4,14.2,72.1,,0.86,223.5,260734.0
계,금천구,2013,180.2,99.0,31.2,67.8,8.1,73.1,,0.7,180.2,258254.0
계,금천구,2014,250.6,166.5,98.1,68.4,7.7,76.4,,0.97,250.6,258030.0
계,금천구,2015,240.1,171.5,105.7,65.8,0.7,67.9,,0.94,240.1,256167.0
계,금천구,2016,239.6,170.0,105.3,64.7,0.8,68.8,,0.94,239.6,254654.0
계,금천구,2017,241.8,170.0,110.4,59.6,0.8,71.0,,0.95,241.8,253491.0
계,금천구,2018,248.8,175.2,116.2,59.0,1.3,72.3,,0.98,248.8,254021.0
계,금천구,2019,286.7,198.0,135.5,62.5,0.1,88.6,,1.14,286.7,251820.0
계,금천구,2020,100451.0,69075.0,48929.0,20146.0,5749.0,24736.0,891.0,1.11,274.5,247835.0
계,금천구,2021,98645.0,62226.0,41962.0,20265.0,11718.0,24175.0,525.0,1.1,270.3,244891.0
계,금천구,2022,99931.0,65228.0,45141.0,20087.0,11294.0,22984.0,425.0,1.13,273.8,242818.0
계,금천구,2023,101244.0,64988.0,45608.0,19380.0,11071.0,21475.0,3710.0,1.15,277.4,241105.0
계,금천구,2024,96694.0,64032.0,44733.0,19299.0,10564.0,21528.0,570.0,1.11,264.2,239070.0
계,노원구,2000,489.1,232.7,160.0,72.7,245.0,11.4,,,,
계,노원구,2001,484.4,252.1,147.7,104.4,219.5,12.8,,,,
계,노원구,2002,489.4,288.3,160.4,127.9,184.8,16.3,,,,
계,노원구,2003,489.8,303.1,158.3,144.8,168.9,17.8,,,,
계,노원구,2004,473.4,305.3,156.6,148.7,162.7,5.4,,,,
계,노원구,2005,451.8,293.8,138.5,155.3,155.2,2.8,,,,
계,노원구,2006,449.5,295.5,138.2,157.3,150.9,3.1,,,,
계,노원구,2007,441.4,287.1,122.5,164.6,147.6,6.7,,,,
계,노원구,2008,420.2,272.3,104.6,167.7,118.6,29.3,,,,
