대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타
계,강남구,2000,794.1,377.0,207.0,170.0,32.3,384.8,
계,강남구,2001,799.0,510.7,242.1,268.6,158.7,129.6,
계,강남구,2002,861.3,567.9,295.0,272.9,162.8,130.6,
계,강남구,2003,874.9,556.8,267.3,289.5,169.5,148.6,
계,강남구,2004,835.0,541.4,242.4,299.0,168.0,125.6,
계,강남구,2005,823.6,542.7,237.5,305.2,212.5,68.4,
계,강남구,2006,800.4,520.4,209.9,310.5,233.4,46.6,
계,강남구,2007,837.9,530.8,200.9,329.9,246.3,60.8,
계,강남구,2008,942.9,581.5,239.7,341.8,193.1,168.3,
계,강남구,2009,978.7,605.1,263.3,341.8,197.6,176.0,
계,강남구,2010,990.5,632.2,291.9,340.3,136.6,221.7,
계,강남구,2011,1017.3,660.5,318.0,342.5,315.7,41.1,
계,강남구,2012,984.9,679.8,339.8,340.0,234.7,70.4,
계,강남구,2013,745.2,499.5,222.7,276.8,160.4,85.3,
계,강남구,2014,808.2,556.2,213.9,342.3,143.6,108.4,
계,강남구,2015,713.2,470.5,198.3,272.2,200.3,42.4,
계,강남구,2016,707.2,474.7,188.9,285.8,77.0,155.5,
계,강남구,2017,708.3,474.8,213.0,261.8,148.6,84.9,
계,강남구,2018,677.1,445.5,176.0,269.5,204.7,26.9,
계,강남구,2019,591.2,348.2,225.0,123.2,197.4,44.0,1.6
계,강남구,2020,254317.0,166714.0,77982.0,88732.0,74305.0,12820.0,478.0
계,강남구,2021,248001.0,161619.0,76884.0,84735.0,73051.0,13244.0,87.0
계,강남구,2022,263297.0,163224.0,73249.0,89976.0,81017.0,16579.0,2477.0
계,강남구,2023,261425.0,161437.0,75688.0,85749.0,85097.0,14630.0,262.0
계,강남구,2024,266815.0,169222.0,88651.0,80570.0,85233.0,10546.0,1814.0
계,강동구,2000,467.1,259.3,194.0,65.3,6.4,201.4,
계,강동구,2001,505.9,301.4,222.9,78.5,7.4,197.1,
계,강동구,2002,537.9,299.8,206.7,93.1,12.7,225.4,
계,강동구,2003,429.2,223.3,138.3,85.0,6.4,199.5,
계,강동구,2004,450.9,255.8,155.1,100.7,13.3,181.8,
계,강동구,2005,437.6,281.3,168.3,113.0,16.4,139.9,
계,강동구,2006,418.7,261.9,148.8,113.1,13.6,143.2,
계,강동구,2007,386.2,241.0,132.0,109.0,22.8,122.4,
계,강동구,2008,496.2,350.9,239.4,111.5,61.7,83.6,
계,강동구,2009,426.4,288.8,171.6,117.2,57.7,79.9,
계,강동구,2010,258.5,136.4,18.1,118.3,62.0,60.1,
계,강동구,2011,262.7,141.2,15.2,126.0,55.3,66.2,
계,강동구,2012,258.6,147.1,26.2,120.9,51.9,59.6,
계,강동구,2013,246.4,131.9,10.3,121.6,52.9,61.6,
계,강동구,2014,392.6,274.3,148.9,125.4,59.2,59.1,
계,강동구,2015,412.4,304.6,173.1,131.5,63.3,44.5,
계,강동구,2016,500.2,391.4,268.9,122.5,79.6,29.2,
계,강동구,2017,375.0,279.8,165.3,114.5,74.1,21.1,
계,강동구,2018,370.1,268.5,158.6,109.9,61.3,40.3,
계,강동구,2019,419.9,283.1,165.5,117.6,74.9,40.9,21.0
계,강동구,2020,134696.0,90881.0,50471.0,40410.0,26954.0,16699.0,161.0
계,강동구,2021,146616.0,97802.0,55306.0,42496.0,20752.0,15911.0,12151.0
계,강동구,2022,126256.0,90128.0,49478.0,40650.0,19731.0,16367.0,30.0
계,강동구,2023,122793.0,87690.0,49144.0,38546.0,20634.0,14436.0,33.0
계,강동구,2024,129564.0,84538.0,46483.0,38055.0,33808.0,10643.0,574.0
계,강북구,2000,422.8,239.7,182.0,57.7,1.3,181.8,
계,강북구,2001,428.5,237.5,177.7,59.8,1.3,189.7,
계,강북구,2002,432.3,232.7,179.4,53.3,0.2,199.4,
계,강북구,2003,387.8,191.8,153.4,38.4,1.7,194.3,
계,강북구,2004,374.9,199.5,121.0,78.5,5.2,170.2,
계,강북구,2005,354.0,236.6,153.4,83.2,,117.4,
계,강북구,2006,350.4,235.9,155.4,80.5,6.5,108.0,
계,강북구,2007,346.0,230.5,146.0,84.5,40.9,74.6,
계,강북구,2008,327.3,231.8,143.5,88.3,54.2,41.3,
계,강북구,2009,315.7,223.3,133.6,89.7,76.0,16.4,
계,강북구,2010,233.4,145.4,56.9,88.5,77.2,10.8,
계,강북구,2011,242.9,157.6,69.3,88.3,75.0,10.3,
계,강북구,2012,242.5,164.4,74.7,89.7,76.1,2.0,
계,강북구,2013,232.6,156.1,68.4,87.7,69.9,6.6,
계,강북구,2014,232.0,150.3,62.6,87.7,66.2,15.5,
계,강북구,2015,230.2,152.7,64.1,88.6,66.0,11.5,
계,강북구,2016,230.0,154.8,70.3,84.5,67.2,8.0,
계,강북구,2017,224.9,153.7,74.9,78.8,64.6,6.6,
계,강북구,2018,230.6,155.4,79.5,75.9,69.1,6.1,
계,강북구,2019,251.2,175.3,101.7,73.6,69.0,6.9,
계,강북구,2020,88989.0,53419.0,28260.0,25158.0,32484.0,3086.0,
계,강북구,2021,94407.0,63804.0,40369.0,23436.0,25501.0,2504.0,2597.0
계,강북구,2022,89627.0,61272.0,38208.0,23065.0,24914.0,2157.0,1284.0
계,강북구,2023,88886.0,62128.0,40003.0,22125.0,24499.0,2223.0,35.0
계,강북구,2024,83607.0,57254.0,35218.0,22037.0,24101.0,2252.0,
계,강서구,2000,532.6,256.0,215.0,41.0,6.1,270.5,
계,강서구,2001,567.5,287.3,240.2,47.1,10.8,269.4,
계,강서구,2002,560.3,295.7,248.3,47.4,7.4,257.2,
계,강서구,2003,594.0,357.6,279.1,78.5,12.3,224.1,
계,강서구,2004,510.4,299.5,186.5,113.0,11.9,199.0,
계,강서구,2005,507.6,338.3,164.5,173.8,15.7,153.6,
계,강서구,2006,444.5,283.3,94.6,188.7,12.5,148.7,
계,강서구,2007,537.8,339.2,148.5,190.7,94.8,103.8,
계,강서구,2008,520.5,378.3,173.3,205.0,88.6,53.6,
계,강서구,2009,570.9,449.7,237.2,212.5,60.4,60.8,
계,강서구,2010,671.4,450.0,235.3,214.7,77.2,144.2,
계,강서구,2011,429.8,316.1,112.1,204.0,91.2,22.5,
계,강서구,2012,399.1,286.1,86.5,199.6,96.8,16.2,
계,강서구,2013,370.2,242.7,81.6,161.1,103.6,23.9,
계,강서구,2014,436.8,305.4,135.3,170.1,102.3,29.1,
계,강서구,2015,434.2,306.7,127.9,178.8,104.3,23.2,
계,강서구,2016,425.3,290.8,110.9,179.9,112.2,22.3,
계,강서구,2017,463.7,329.4,160.9,168.5,106.4,27.9,
계,강서구,2018,480.0,336.4,173.3,163.1,115.7,27.9,
계,강서구,2019,599.4,446.2,286.0,160.2,115.5,35.7,2.0
계,강서구,2020,192797.0,133861.0,81134.0,52728.0,37921.0,20583.0,431.0
계,강서구,2021,751795.0,212856.0,165418.0,47438.0,38987.0,229973.0,269979.0
계,강서구,2022,585756.0,274273.0,228116.0,46157.0,46052.0,22085.0,243346.0
계,강서구,2023,490315.0,221810.0,178033.0,43777.0,48403.0,15035.0,205068.0
계,강서구,2024,590910.0,270188.0,225445.0,44743.0,50371.0,14385.0,255967.0
계,관악구,2000,449.0,165.5,130.0,35.5,6.2,277.3,
계,관악구,2001,501.2,172.9,134.1,38.8,8.4,319.9,
계,관악구,2002,520.6,216.6,180.1,36.5,9.0,295.0,
계,관악구,2003,563.1,280.3,238.3,42.0,12.5,270.3,
계,관악구,2004,583.4,337.2,234.2,103.0,9.9,236.3,
계,관악구,2005,551.0,362.2,244.4,117.8,15.6,173.2,
계,관악구,2006,581.7,380.0,249.8,130.3,5.7,196.0,
계,관악구,2007,569.3,387.2,253.4,133.8,13.5,168.6,
계,관악구,2008,540.3,385.4,256.7,128.7,8.0,146.9,
계,관악구,2009,474.4,326.0,199.9,126.1,7.0,141.4,
계,관악구,2010,340.0,163.0,35.0,128.0,21.0,156.0,
계,관악구,2011,321.0,157.4,36.8,120.6,7.6,156.0,
계,관악구,2012,317.6,187.5,65.9,121.6,21.0,109.1,
계,관악구,2013,315.5,179.9,64.5,115.4,26.8,108.8,
계,관악구,2014,354.3,218.2,99.1,119.1,31.9,104.2,
계,관악구,2015,337.9,209.7,92.9,116.8,30.1,98.1,
계,관악구,2016,339.7,212.9,97.6,115.3,55.1,71.7,
계,관악구,2017,361.8,231.4,121.2,110.2,66.6,63.8,
계,관악구,2018,436.8,315.9,205.6,110.3,36.7,84.2,
계,관악구,2019,434.7,313.2,221.9,91.3,37.7,83.7,0.1
계,관악구,2020,146977.0,103521.0,69067.0,34454.0,11177.0,32279.0,
계,관악구,2021,146143.0,87868.0,54392.0,33476.0,40409.0,17867.0,
계,관악구,2022,161574.0,109513.0,75883.0,33630.0,32082.0,19980.0,
계,관악구,2023,146875.0,97385.0,65990.0,31395.0,31360.0,18067.0,63.0
계,관악구,2024,149864.0,111384.0,80526.0,30858.0,24650.0,13830.0,
계,광진구,2000,352.8,155.0,113.0,42.0,5.1,192.7,
계,광진구,2001,356.8,132.6,86.9,45.7,5.6,218.6,
계,광진구,2002,475.0,247.6,202.3,45.3,7.6,219.8,
계,광진구,2003,465.1,285.4,229.1,56.3,8.9,170.8,
계,광진구,2004,470.6,304.7,231.7,73.0,8.1,157.8,
계,광진구,2005,410.4,302.5,198.2,104.3,9.6,98.3,
계,광진구,2006,437.6,308.2,204.7,103.5,13.6,115.8,
계,광진구,2007,357.2,226.4,131.0,95.4,41.6,89.2,
계,광진구,2008,376.3,246.4,151.3,95.1,89.4,40.5,
계,광진구,2009,382.7,278.3,178.8,99.5,89.0,15.4,
계,광진구,2010,392.3,288.6,188.5,100.1,76.0,27.7,
계,광진구,2011,365.2,270.5,165.6,104.9,64.0,30.7,
계,광진구,2012,368.5,276.6,163.7,112.9,68.6,23.3,
계,광진구,2013,379.3,285.8,186.9,98.9,66.3,27.2,
계,광진구,2014,348.9,254.6,150.1,104.5,60.2,34.1,
계,광진구,2015,339.4,250.4,146.2,104.2,61.4,27.6,
계,광진구,2016,326.3,240.8,138.2,102.6,64.1,21.4,
계,광진구,2017,319.2,239.3,140.2,99.1,61.6,18.3,
계,광진구,2018,342.5,263.3,168.2,95.1,57.5,21.7,
계,광진구,2019,333.9,253.2,158.7,94.5,59.1,21.2,0.4
계,광진구,2020,125579.0,87415.0,55637.0,31778.0,30325.0,7823.0,15.0
계,광진구,2021,91428.0,62681.0,32505.0,30176.0,18288.0,10459.0,
계,광진구,2022,120644.0,95246.0,64919.0,30328.0,16497.0,8595.0,306.0
계,광진구,2023,104709.0,67412.0,36984.0,30428.0,29242.0,8048.0,8.0
계,광진구,2024,107234.0,71082.0,41987.0,29096.0,27968.0,8176.0,8.0
계,구로구,2000,351.7,168.0,112.0,56.0,41.3,142.4,
계,구로구,2001,405.2,215.5,142.6,72.9,119.0,70.7,
계,구로구,2002,425.9,232.1,163.0,69.1,103.1,90.7,
계,구로구,2003,444.2,259.4,175.7,83.7,111.8,73.0,
계,구로구,2004,385.9,227.5,142.5,85.0,112.3,46.1,
계,구로구,2005,416.6,246.1,146.1,100.0,123.3,47.2,
계,구로구,2006,440.3,280.3,170.9,109.4,133.8,26.2,
계,구로구,2007,435.7,282.6,173.0,109.6,128.4,24.7,
계,구로구,2008,441.8,295.4,181.0,114.4,128.5,17.9,
계,구로구,2009,430.1,290.6,178.8,111.8,129.6,9.9,
계,구로구,2010,308.1,170.1,62.1,108.0,129.0,9.0,
계,구로구,2011,276.7,139.0,33.0,106.0,119.0,18.7,
계,구로구,2012,285.7,152.4,38.8,113.6,128.8,4.5,
계,구로구,2013,278.5,139.7,31.0,108.7,122.3,16.5,
계,구로구,2014,322.5,186.9,70.3,116.6,118.3,17.3,
계,구로구,2015,314.7,176.4,64.2,112.2,114.3,24.0,
계,구로구,2016,318.2,177.2,64.3,112.9,107.4,33.6,
계,구로구,2017,310.8,174.5,72.2,102.3,107.7,28.6,
계,구로구,2018,319.4,172.8,76.0,96.8,119.6,27.0,
계,구로구,2019,326.5,171.0,74.1,96.9,124.5,30.9,0.1
계,구로구,2020,120646.0,63150.0,33108.0,30042.0,39947.0,17541.0,8.0
계,구로구,2021,136224.0,76846.0,46994.0,29852.0,40405.0,18687.0,287.0
계,구로구,2022,134033.0,80101.0,51349.0,28752.0,37846.0,15879.0,208.0
계,구로구,2023,171610.0,119509.0,91264.0,28245.0,39364.0,12648.0,89.0
계,구로구,2024,122831.0,71343.0,43017.0,28325.0,44102.0,7011.0,375.0
계,금천구,2000,321.7,162.7,133.0,29.7,5.5,153.5,
계,금천구,2001,365.4,204.7,155.0,49.7,8.3,152.4,
계,금천구,2002,342.8,188.5,145.6,42.9,8.6,145.7,
계,금천구,2003,342.0,199.5,146.6,52.9,10.4,132.1,
계,금천구,2004,324.7,192.0,139.7,52.3,5.9,126.8,
계,금천구,2005,312.7,207.1,142.3,64.8,5.1,100.5,
계,금천구,2006,302.1,193.8,127.6,66.2,9.0,99.3,
계,금천구,2007,316.8,200.9,128.8,72.1,22.1,93.8,
계,금천구,2008,222.3,133.6,55.2,78.4,4.5,84.2,
계,금천구,2009,272.8,192.0,112.9,79.1,6.0,74.8,
계,금천구,2010,196.7,136.5,56.4,80.1,5.6,54.6,
계,금천구,2011,221.2,128.1,48.3,79.8,6.7,86.4,
계,금천구,2012,223.5,137.2,61.8,75.4,14.2,72.1,
계,금천구,2013,180.2,99.0,31.2,67.8,8.1,73.1,
계,금천구,2014,250.6,166.5,98.1,68.4,7.7,76.4,
계,금천구,2015,240.1,171.5,105.7,65.8,0.7,67.9,
계,금천구,2016,239.6,170.0,105.3,64.7,0.8,68.8,
계,금천구,2017,241.8,170.0,110.4,59.6,0.8,71.0,
계,금천구,2018,248.8,175.2,116.2,59.0,1.3,72.3,
계,금천구,2019,286.7,198.0,135.5,62.5,0.1,88.6,
계,금천구,2020,100451.0,69075.0,48929.0,20146.0,5749.0,24736.0,891.0
계,금천구,2021,98645.0,62226.0,41962.0,20265.0,11718.0,24175.0,525.0
계,금천구,2022,99931.0,65228.0,45141.0,20087.0,11294.0,22984.0,425.0
계,금천구,2023,101244.0,64988.0,45608.0,19380.0,11071.0,21475.0,3710.0
계,금천구,2024,96694.0,64032.0,44733.0,19299.0,10564.0,21528.0,570.0
계,노원구,2000,489.1,232.7,160.0,72.7,245.0,11.4,
계,노원구,2001,484.4,252.1,147.7,104.4,219.5,12.8,
계,노원구,2002,489.4,288.3,160.4,127.9,184.8,16.3,
계,노원구,2003,489.8,303.1,158.3,144.8,168.9,17.8,
계,노원구,2004,473.4,305.3,156.6,148.7,162.7,5.4,
계,노원구,2005,451.8,293.8,138.5,155.3,155.2,2.8,
계,노원구,2006,449.5,295.5,138.2,157.3,150.9,3.1,
계,노원구,2007,441.4,287.1,122.5,164.6,147.6,6.7,
계,노원구,2008,420.2,272.3,104.6,167.7,118.6,29.3,
계,노원구,2009,541.2,345.4,179.8,165.6,127.0,68.8,
계,노원구,2010,452.9,290.1,130.1,160.0,117.4,45.4,
계,노원구,2011,303.7,182.8,18.0,164.8,119.9,1.0,
계,노원구,2012,307.9,187.3,21.6,165.7,120.1,0.5,
계,노원구,2013,302.4,183.1,19.8,163.3,115.3,4.0,
계,노원구,2014,356.4,237.0,67.2,169.8,108.4,11.0,
계,노원구,2015,464.2,351.0,188.2,162.8,106.2,7.0,
계,노원구,2016,455.1,335.7,177.7,158.0,112.6,6.8,
계,노원구,2017,416.7,309.0,170.3,138.7,101.2,6.5,
계,노원구,2018,467.2,360.2,228.3,131.9,102.3,4.7,
계,노원구,2019,317.3,207.4,82.4,125.0,104.6,3.9,1.4
계,노원구,2020,144500.0,102566.0,59548.0,43018.0,39196.0,1926.0,813.0
계,노원구,2021,135900.0,95590.0,53368.0,42222.0,36352.0,3854.0,104.0
계,노원구,2022,145778.0,106889.0,64645.0,42244.0,35346.0,3490.0,53.0
계,노원구,2023,140139.0,102671.0,62070.0,40600.0,33276.0,3815.0,377.0
계,노원구,2024,150001.0,96090.0,55535.0,40555.0,41725.0,1856.0,10329.0
계,도봉구,2000,351.9,205.2,158.0,47.2,,146.7,
계,도봉구,2001,298.1,146.8,106.9,39.9,,151.3,
계,도봉구,2002,257.2,101.7,60.4,41.3,,155.5,
계,도봉구,2003,286.8,128.5,79.4,49.1,,158.3,
계,도봉구,2004,242.0,125.3,53.0,72.3,,116.7,
계,도봉구,2005,229.9,140.7,54.0,86.7,,89.2,
계,도봉구,2006,416.1,323.4,218.8,104.6,5.2,87.5,
계,도봉구,2007,412.5,322.8,224.2,98.6,28.2,61.5,
계,도봉구,2008,398.0,311.4,210.6,100.8,48.9,37.7,
계,도봉구,2009,307.4,233.5,131.6,101.9,54.3,19.6,
계,도봉구,2010,400.6,325.7,227.3,98.4,59.7,15.2,
계,도봉구,2011,404.3,328.2,234.3,93.9,64.0,12.1,
계,도봉구,2012,400.4,326.9,231.9,95.0,64.2,9.3,
계,도봉구,2013,386.2,318.5,226.8,91.7,58.6,9.1,
계,도봉구,2014,348.1,279.9,181.8,98.1,55.4,12.8,
계,도봉구,2015,314.7,244.7,147.8,96.9,61.0,9.0,
계,도봉구,2016,315.1,247.0,156.3,90.7,62.4,5.7,
계,도봉구,2017,243.6,172.4,90.1,82.3,64.3,6.9,
계,도봉구,2018,255.7,188.1,109.8,78.3,59.6,8.0,
계,도봉구,2019,345.1,220.7,140.0,80.7,76.0,5.7,42.7
계,도봉구,2020,110126.0,72850.0,46187.0,26663.0,34579.0,2599.0,98.0
계,도봉구,2021,91929.0,53467.0,27155.0,26313.0,35235.0,3095.0,132.0
계,도봉구,2022,94263.0,70069.0,43989.0,26080.0,20088.0,2597.0,1509.0
계,도봉구,2023,102431.0,58070.0,31074.0,26996.0,36818.0,2605.0,4938.0
계,도봉구,2024,88094.0,61429.0,37068.0,24361.0,20306.0,2084.0,4276.0
계,동대문구,2000,462.7,174.7,122.0,52.7,1.4,286.6,
계,동대문구,2001,485.7,190.3,116.6,73.7,1.1,294.3,
계,동대문구,2002,487.3,186.3,114.9,71.4,1.9,299.1,
계,동대문구,2003,512.1,209.4,151.0,58.4,5.6,297.1,
계,동대문구,2004,552.4,276.4,187.5,88.9,6.4,269.6,
계,동대문구,2005,523.8,339.5,226.1,113.4,10.2,174.1,
계,동대문구,2006,538.4,363.7,247.9,115.8,10.8,163.9,
계,동대문구,2007,486.8,324.9,211.2,113.7,0.7,161.2,
계,동대문구,2008,421.7,262.9,179.6,83.3,9.0,149.8,
계,동대문구,2009,378.1,239.0,148.2,90.8,,139.1,
계,동대문구,2010,409.4,279.3,187.9,91.4,,130.1,
계,동대문구,2011,444.5,311.2,216.2,95.0,,133.3,
계,동대문구,2012,400.0,282.8,182.6,100.2,100.9,16.3,
계,동대문구,2013,396.8,279.4,180.8,98.6,103.4,14.0,
계,동대문구,2014,414.7,294.8,189.7,105.1,96.7,23.2,
계,동대문구,2015,408.3,291.6,185.8,105.8,95.6,21.1,
계,동대문구,2016,426.6,311.0,205.6,105.4,95.0,20.6,
계,동대문구,2017,422.5,310.6,208.8,101.8,93.1,18.8,
계,동대문구,2018,416.3,305.9,208.3,97.6,89.1,21.3,
계,동대문구,2019,411.2,298.4,205.6,92.8,93.1,19.5,0.2
계,동대문구,2020,161082.0,121098.0,87880.0,33218.0,31697.0,8277.0,10.0
계,동대문구,2021,116867.0,75504.0,41504.0,34000.0,31695.0,9560.0,109.0
계,동대문구,2022,108075.0,68325.0,37152.0,31174.0,30065.0,9484.0,200.0
계,동대문구,2023,113337.0,72494.0,41190.0,31303.0,31512.0,7144.0,2187.0
계,동대문구,2024,112593.0,73460.0,42239.0,31221.0,33612.0,4632.0,889.0
계,동작구,2000,388.0,166.3,126.0,40.3,4.0,217.7,
계,동작구,2001,426.9,184.9,142.0,42.9,2.3,239.7,
계,동작구,2002,441.1,191.1,152.6,38.5,7.7,242.3,
계,동작구,2003,419.5,190.8,137.7,53.1,11.9,216.8,
계,동작구,2004,405.5,219.0,128.6,90.4,10.1,176.4,
계,동작구,2005,362.8,230.0,122.6,107.4,6.4,126.4,
계,동작구,2006,372.6,234.7,127.3,107.4,6.9,131.0,
계,동작구,2007,364.3,217.6,102.9,114.7,26.5,120.2,
계,동작구,2008,400.6,224.3,101.6,122.7,70.6,105.7,
계,동작구,2009,394.3,255.1,134.5,120.6,81.4,57.8,
계,동작구,2010,323.1,206.3,120.2,86.1,74.4,42.4,
계,동작구,2011,327.7,203.7,95.4,108.3,92.5,31.5,
계,동작구,2012,337.7,240.8,125.9,114.9,81.2,15.7,
계,동작구,2013,327.5,226.9,120.6,106.3,87.2,13.4,
계,동작구,2014,339.8,238.9,123.3,115.6,81.0,19.9,
계,동작구,2015,297.9,210.0,103.8,106.2,66.8,21.1,
계,동작구,2016,280.5,188.4,89.3,99.1,72.6,19.5,
계,동작구,2017,269.0,178.3,86.8,91.5,59.8,30.9,
계,동작구,2018,290.6,200.1,109.0,91.1,70.3,20.2,
계,동작구,2019,315.4,224.9,131.9,93.0,67.2,23.3,
계,동작구,2020,118757.0,86746.0,55512.0,31234.0,24316.0,6850.0,846.0
계,동작구,2021,108554.0,71943.0,42577.0,29366.0,25098.0,11143.0,371.0
계,동작구,2022,118013.0,77044.0,47526.0,29518.0,26806.0,13606.0,557.0
계,동작구,2023,116719.0,79700.0,50954.0,28746.0,26679.0,9967.0,373.0
계,동작구,2024,119527.0,80659.0,52048.0,28611.0,27158.0,9166.0,2544.0
계,마포구,2000,438.4,206.0,179.0,27.0,2.1,230.3,
계,마포구,2001,437.4,203.7,160.6,43.1,2.3,231.4,
계,마포구,2002,437.2,203.9,162.7,41.2,5.1,228.2,
계,마포구,2003,461.2,238.7,196.1,42.6,2.9,219.6,
계,마포구,2004,470.5,255.1,157.9,97.2,15.0,200.4,
계,마포구,2005,443.6,305.4,207.9,97.5,110.8,27.4,
계,마포구,2006,431.1,277.4,174.7,102.7,122.0,31.7,
계,마포구,2007,433.8,281.5,165.5,116.0,123.6,28.7,
계,마포구,2008,416.7,268.6,145.1,123.5,123.3,24.8,
계,마포구,2009,413.7,282.8,162.8,120.0,102.8,28.1,
계,마포구,2010,303.1,166.1,43.8,122.3,107.6,29.4,
계,마포구,2011,309.6,175.5,51.2,124.3,112.8,21.3,
계,마포구,2012,279.6,155.3,32.9,122.4,111.7,12.6,
