광역시도,자치구,연도,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
서울시,마포구,2018,91.1,68.2,33.1,27.3,7.8,22.9,5.5,15.4,1.4,,0.6,,,,,,
서울시,마포구,2019,96.4,65.3,32.8,24.5,8.0,27.0,6.3,20.1,,,0.6,4.1,,,4.1,,
서울시,마포구,2020,84.6,63.4,29.6,26.4,7.4,19.8,3.7,14.7,0.3,,1.1,1.4,,0.1,1.2,,0.1
서울시,마포구,2021,77.9,61.4,28.1,26.3,7.0,15.2,5.0,9.9,,,0.4,1.3,0.0,,0.9,,0.3
서울시,마포구,2022,81.0,61.3,28.1,24.5,8.8,18.1,5.9,11.1,0.4,0.0,0.5,1.6,,,1.2,,0.4
서울시,마포구,2023,78.8,58.9,28.4,23.3,7.1,18.5,5.0,13.1,,0.0,0.4,1.5,0.1,0.2,0.9,,0.2
서울시,서대문구,2014,91.0,74.6,20.9,31.5,22.2,16.4,7.8,5.2,1.6,0.8,1.0,,,,,,
서울시,서대문구,2015,82.7,69.2,30.3,21.9,17.0,13.5,5.5,6.9,0.1,,1.0,,,,,,
서울시,서대문구,2016,79.8,62.7,20.5,24.3,17.9,17.1,7.0,8.7,0.3,,1.1,,,,,,
서울시,서대문구,2017,76.9,59.2,22.5,21.3,15.4,17.7,8.3,8.0,0.4,,1.0,,,,,,
서울시,서대문구,2018,73.1,57.4,23.2,19.4,14.8,15.7,6.3,7.0,1.4,,1.0,,,,,,
서울시,서대문구,2019,71.1,56.7,23.9,19.0,13.8,11.1,5.6,5.0,0.3,,0.1,3.4,1.7,0.8,,,1.0
서울시,서대문구,2020,63.5,52.6,22.6,20.3,9.6,8.0,3.7,4.1,0.1,,0.1,2.9,1.9,0.5,,,0.4
서울시,서대문구,2021,61.1,50.9,22.4,20.3,8.2,8.9,4.8,3.8,0.3,,0.1,1.3,0.9,0.3,,,0.1
서울시,서대문구,2022,63.1,50.6,22.3,19.3,9.0,9.8,5.3,4.1,0.4,,0.1,2.7,1.9,0.6,,,0.2
서울시,서대문구,2023,61.0,50.5,23.6,18.8,8.1,9.5,5.2,4.0,0.2,,0.1,1.0,0.6,0.3,,,0.1
서울시,서초구,2014,187.6,140.1,43.8,75.7,20.6,47.5,14.5,21.8,5.4,1.2,4.6,,,,,,
서울시,서초구,2015,206.0,137.9,38.8,43.7,55.4,68.1,15.2,38.4,6.5,3.2,4.8,,,,,,
서울시,서초구,2016,182.4,122.1,25.6,48.1,48.4,60.3,17.9,38.1,2.9,0.2,1.2,,,,,,
서울시,서초구,2017,179.0,110.3,23.0,43.2,44.1,68.7,16.9,38.0,6.2,0.9,6.7,,,,,,
서울시,서초구,2018,175.7,107.8,23.4,44.0,40.4,67.9,16.5,40.5,6.0,1.0,3.9,,,,,,
서울시,서초구,2019,180.2,101.3,22.1,40.8,38.4,64.7,13.2,38.1,8.3,0.8,4.3,14.2,3.2,0.9,10.1,,
서울시,서초구,2020,155.8,97.7,21.4,39.2,37.1,43.2,7.6,29.8,4.0,,1.8,14.9,2.8,0.9,11.2,,
서울시,서초구,2021,147.4,93.9,20.6,37.4,35.9,41.0,11.3,26.3,2.1,,1.3,12.5,3.2,0.2,6.2,1.7,1.2
서울시,서초구,2022,144.5,88.2,19.3,35.3,33.7,37.5,11.6,24.7,0.7,,0.5,18.8,3.9,1.6,7.3,2.8,3.3
서울시,서초구,2023,138.1,84.0,18.5,33.6,31.9,33.3,9.5,23.4,0.1,,0.3,20.8,4.4,2.7,7.5,2.8,3.5
서울시,성동구,2014,79.7,73.3,27.1,31.6,14.6,6.4,2.4,1.7,2.3,,,,,,,,
서울시,성동구,2015,91.8,79.0,24.2,36.4,18.4,12.8,5.2,3.8,3.7,0.1,,,,,,,
서울시,성동구,2016,87.9,76.0,20.2,34.5,21.3,11.9,5.2,3.4,3.2,0.1,,,,,,,
서울시,성동구,2017,85.7,71.3,18.8,32.7,19.8,14.4,5.1,4.0,5.0,0.3,,,,,,,
서울시,성동구,2018,84.2,70.6,19.7,31.0,19.9,13.6,5.7,4.3,3.5,0.1,,,,,,,
서울시,성동구,2019,80.6,69.6,21.6,28.8,19.2,8.7,4.5,4.0,0.2,,,2.3,,,2.3,,
서울시,성동구,2020,77.9,68.4,22.9,30.4,15.4,6.4,3.4,2.9,0.1,,,3.1,,,3.1,,
서울시,성동구,2021,76.6,66.5,22.4,28.7,15.4,6.7,4.1,2.5,0.1,0.0,,3.4,,,3.4,,
서울시,성동구,2022,76.6,65.5,25.9,26.7,12.8,7.8,4.5,3.2,0.1,,,3.3,,,3.3,,
서울시,성동구,2023,75.8,64.0,17.5,25.9,20.6,8.2,4.7,3.4,0.1,,,3.6,,,3.6,,
서울시,성북구,2014,109.4,91.3,24.5,44.3,22.5,18.1,7.4,6.3,4.2,,0.2,,,,,,
서울시,성북구,2015,106.9,91.0,23.1,46.2,21.7,15.9,7.9,5.4,2.4,,0.2,,,,,,
서울시,성북구,2016,103.2,87.7,25.8,42.1,19.8,15.5,9.0,4.3,1.9,,0.3,,,,,,
서울시,성북구,2017,95.4,81.2,25.5,38.4,17.3,14.2,9.2,4.6,0.1,,0.3,,,,,,
서울시,성북구,2018,94.0,79.3,24.0,36.7,18.6,14.7,8.3,4.5,1.8,,0.1,,,,,,
서울시,성북구,2019,93.8,80.5,18.5,44.7,17.3,11.6,9.7,1.7,0.1,,0.1,1.7,,,1.7,,
서울시,성북구,2020,86.9,77.0,23.2,39.4,14.4,8.1,5.4,2.6,0.1,,0.1,1.8,,,1.8,,
서울시,성북구,2021,86.7,75.0,28.0,38.1,8.9,8.9,6.6,2.1,0.1,,0.1,2.8,,,2.8,,
서울시,성북구,2022,91.9,80.3,56.6,22.0,1.8,10.2,7.6,2.4,0.2,,0.0,1.3,,,1.3,,
서울시,성북구,2023,92.4,79.2,37.8,29.7,11.7,12.2,8.8,3.2,0.1,,0.1,1.0,,,1.0,,
서울시,송파구,2014,184.7,169.9,37.3,76.6,56.0,14.8,1.0,8.7,3.6,1.4,0.1,,,,,,
서울시,송파구,2015,221.0,163.9,38.0,67.2,58.7,57.1,20.8,15.7,19.0,0.4,1.2,,,,,,
서울시,송파구,2016,207.1,154.4,40.1,60.9,53.4,52.7,19.4,11.4,18.1,2.6,1.2,,,,,,
서울시,송파구,2017,188.7,148.0,37.4,61.0,49.6,40.7,12.4,11.6,15.6,0.3,0.8,,,,,,
서울시,송파구,2018,217.7,147.4,38.2,60.3,48.9,70.3,18.5,12.0,20.2,13.3,6.3,,,,,,
서울시,송파구,2019,226.7,148.8,38.4,60.5,49.9,29.3,11.6,16.1,1.4,,0.2,48.6,9.3,0.1,21.0,13.2,5.0
서울시,송파구,2020,208.5,144.1,38.5,63.6,42.0,22.1,7.5,13.2,1.2,,0.2,42.3,7.8,,18.8,13.6,2.2
서울시,송파구,2021,210.9,139.5,38.9,62.0,38.6,20.2,9.5,9.6,1.0,,0.1,51.2,10.1,0.0,18.0,20.8,2.3
서울시,송파구,2022,212.8,136.4,36.8,60.1,39.4,19.3,9.3,9.0,0.7,,0.2,57.2,10.7,0.7,30.5,15.0,0.3
서울시,송파구,2023,187.3,131.1,33.4,58.8,39.0,19.0,9.0,9.5,0.4,,0.1,37.2,11.4,0.1,14.2,10.2,1.3
서울시,양천구,2014,119.4,99.8,34.9,37.7,27.2,19.6,9.1,7.0,3.5,,,,,,,,
서울시,양천구,2015,117.2,99.3,33.7,36.9,28.7,17.9,7.2,6.0,4.7,,,,,,,,
서울시,양천구,2016,111.8,96.9,30.9,36.0,30.0,14.9,7.0,4.4,3.5,,,,,,,,
서울시,양천구,2017,108.4,91.6,28.5,33.8,29.3,16.8,8.1,6.2,2.5,,,,,,,,
서울시,양천구,2018,104.9,85.9,24.1,33.9,27.9,19.0,7.7,7.8,3.5,,,,,,,,
서울시,양천구,2019,97.6,79.7,22.0,32.7,25.0,14.3,8.4,5.9,,,,3.6,,,3.6,,
서울시,양천구,2020,89.0,79.4,21.8,36.4,21.2,7.5,3.9,3.6,,,,2.1,0.2,,1.9,,
서울시,양천구,2021,88.7,76.6,21.2,36.0,19.4,10.2,6.5,3.7,,,,1.9,0.2,,1.7,,
서울시,양천구,2022,90.0,77.3,22.3,37.3,17.7,10.7,7.1,3.6,,,,2.0,0.2,,1.7,,
서울시,양천구,2023,82.1,70.6,21.1,33.6,15.8,9.4,7.3,2.1,,,,2.2,0.3,,1.8,,
서울시,영등포구,2014,137.1,117.5,55.2,28.2,34.1,19.6,7.5,7.4,4.3,,0.4,,,,,,
서울시,영등포구,2015,160.7,114.9,54.5,29.3,31.1,45.8,17.7,16.9,10.0,,1.2,,,,,,
서울시,영등포구,2016,155.0,112.2,57.3,29.0,25.9,42.8,15.8,19.3,6.3,,1.4,,,,,,
서울시,영등포구,2017,154.5,105.4,50.5,27.9,27.0,49.1,13.6,22.2,12.1,,1.2,,,,,,
서울시,영등포구,2018,134.3,103.0,52.0,27.7,23.3,31.3,11.1,19.0,0.4,0.1,0.7,,,,,,
서울시,영등포구,2019,146.4,103.7,54.8,27.2,21.7,31.5,12.4,18.8,,,0.4,11.1,2.9,,6.8,,1.5
서울시,영등포구,2020,136.5,98.3,50.3,28.8,19.2,24.0,7.6,16.0,,,0.4,14.2,3.3,,10.2,,0.7
서울시,영등포구,2021,131.6,94.4,48.6,29.4,16.4,22.1,7.3,14.2,0.1,,0.5,15.1,2.2,,12.1,,0.8
서울시,영등포구,2022,134.8,92.9,38.7,29.2,25.1,25.8,8.6,16.9,,,0.3,16.1,4.1,0.1,10.8,,1.1
서울시,영등포구,2023,133.2,89.6,40.1,26.9,22.6,28.2,9.2,18.5,,,0.4,15.5,5.9,0.3,8.1,,1.3
서울시,용산구,2014,77.1,61.7,16.7,22.1,22.9,15.4,4.5,5.1,3.3,,2.5,,,,,,
서울시,용산구,2015,77.8,61.6,24.1,16.7,20.8,16.2,5.2,6.1,3.6,,1.3,,,,,,
서울시,용산구,2016,77.2,60.0,21.5,16.4,22.1,17.2,5.3,5.9,4.5,,1.5,,,,,,
서울시,용산구,2017,74.9,56.9,19.8,16.2,20.9,18.0,4.7,7.1,4.1,,2.1,,,,,,
서울시,용산구,2018,74.1,55.3,20.3,15.1,19.9,18.8,5.4,6.6,4.8,,2.0,,,,,,
서울시,용산구,2019,74.1,55.4,24.3,14.3,16.8,10.8,3.8,6.1,0.2,,0.7,7.9,3.7,4.2,,,
서울시,용산구,2020,63.7,49.1,21.3,14.1,13.6,6.7,2.8,3.8,0.1,,0.1,7.9,2.5,3.6,,,1.8
서울시,용산구,2021,62.7,45.9,24.4,11.2,10.3,8.0,3.2,3.5,0.1,,1.2,8.8,1.8,,5.9,,1.1
서울시,용산구,2022,64.9,44.6,26.3,8.1,10.2,10.5,4.8,5.4,0.1,,0.3,9.7,2.6,,5.4,,1.7
서울시,용산구,2023,63.2,45.9,19.5,10.6,15.8,9.6,5.1,4.2,0.1,,0.2,7.7,2.8,,3.7,,1.2
서울시,은평구,2014,88.6,77.5,53.3,15.9,8.3,11.1,5.4,3.2,2.5,,,,,,,,
서울시,은평구,2015,93.2,80.4,56.7,14.6,9.1,12.8,6.4,3.9,2.5,,,,,,,,
서울시,은평구,2016,91.4,78.1,51.0,17.3,9.8,13.3,6.7,3.9,2.7,,,,,,,,
서울시,은평구,2017,86.7,71.1,46.3,13.8,11.0,15.6,7.5,3.8,4.3,,,,,,,,
서울시,은평구,2018,84.2,70.2,45.1,13.3,11.8,14.0,6.2,3.9,3.8,,0.1,,,,,,
서울시,은평구,2019,84.6,69.4,44.3,13.0,12.1,10.6,6.5,4.1,,,,4.6,,,4.6,,
서울시,은평구,2020,78.4,68.2,44.7,13.2,10.3,7.4,3.9,3.5,,,,2.8,,,2.8,,
서울시,은평구,2021,77.9,66.1,43.4,13.4,9.3,8.2,5.1,3.1,,,0.0,3.6,1.0,,2.6,,
서울시,은평구,2022,75.7,63.1,42.5,10.1,10.5,8.9,5.7,3.2,,,0.0,3.7,1.0,,2.7,,
서울시,은평구,2023,72.6,60.0,43.6,8.0,8.5,9.0,5.9,3.0,,,0.0,3.6,1.0,,2.7,,
서울시,종로구,2014,119.5,77.4,59.4,10.9,7.1,42.1,8.2,33.3,,,0.6,,,,,,
서울시,종로구,2015,96.8,76.8,57.9,10.7,8.2,20.0,8.2,11.5,,,0.3,,,,,,
서울시,종로구,2016,107.9,69.8,41.4,5.9,22.5,38.1,17.4,19.6,,,1.1,,,,,,
서울시,종로구,2017,105.3,65.2,18.5,3.3,43.4,40.1,20.1,19.5,,,0.5,,,,,,
서울시,종로구,2018,100.8,64.5,18.4,3.9,42.2,36.3,15.7,17.1,,,3.5,,,,,,
서울시,종로구,2019,95.6,65.7,18.4,4.2,43.1,27.4,10.5,15.8,,,1.1,2.5,1.3,,,,1.3
서울시,종로구,2020,76.1,53.0,18.1,4.7,30.2,18.3,5.5,12.1,,,0.7,4.8,4.4,,,,0.4
서울시,종로구,2021,69.3,49.5,16.4,4.4,28.7,17.2,5.9,10.6,0.1,,0.6,2.6,2.3,0.2,,,0.2
서울시,종로구,2022,75.5,53.1,14.8,4.1,34.2,20.6,6.8,12.9,0.1,,0.7,1.8,1.6,,,,0.2
서울시,종로구,2023,79.9,54.8,13.2,3.9,37.7,20.5,7.1,12.8,,,0.6,4.6,3.6,,,,1.0
서울시,중구,2014,130.0,82.5,7.2,13.3,62.0,47.5,9.0,20.4,7.0,,11.1,,,,,,
서울시,중구,2015,127.8,80.5,7.3,12.3,60.9,47.3,8.2,15.7,11.7,,11.7,,,,,,
서울시,중구,2016,126.1,74.1,7.5,10.5,56.1,52.0,8.9,18.1,12.2,,12.8,,,,,,
서울시,중구,2017,107.5,62.6,8.6,9.9,44.1,44.9,7.7,18.0,6.5,,12.7,,,,,,
서울시,중구,2018,114.8,60.4,8.3,9.5,42.6,54.4,8.9,21.1,11.4,,13.0,,,,,,
서울시,중구,2019,116.4,60.2,8.5,9.3,42.4,26.9,6.5,17.8,0.3,,2.4,29.3,2.6,0.9,14.4,,11.4
서울시,중구,2020,80.8,47.1,8.0,9.2,29.9,18.1,4.8,12.5,0.3,,0.5,15.6,2.2,0.6,5.7,,7.1
서울시,중구,2021,78.5,43.9,8.7,9.0,26.2,20.4,5.3,13.1,1.5,,0.6,14.2,1.3,0.3,6.4,,6.2
서울시,중구,2022,90.6,48.9,9.0,9.4,30.6,23.4,5.1,17.2,0.2,,0.8,18.3,0.9,2.4,4.6,,10.3
서울시,중구,2023,101.7,51.1,8.8,8.0,34.3,25.9,5.9,17.7,1.1,,1.2,24.7,2.1,2.1,7.7,,12.9
서울시,중랑구,2014,102.4,95.9,46.9,30.2,18.8,6.5,3.0,1.9,1.6,,,,,,,,
서울시,중랑구,2015,99.6,88.9,41.8,28.8,18.3,10.7,4.2,3.5,3.0,,,,,,,,
서울시,중랑구,2016,93.2,82.0,36.7,25.4,19.9,11.2,4.3,3.5,3.4,,,,,,,,
서울시,중랑구,2017,90.6,80.1,37.3,24.4,18.4,10.5,4.2,3.9,2.4,,,,,,,,
서울시,중랑구,2018,91.4,81.3,39.5,23.8,18.0,10.1,4.0,3.5,2.6,,,,,,,,
서울시,중랑구,2019,91.0,81.8,40.8,22.8,18.2,6.2,3.4,2.8,,,,3.0,0.6,,2.4,,
서울시,중랑구,2020,86.7,80.2,40.1,22.7,17.4,4.6,2.3,2.3,,,,1.9,0.3,,1.5,,
서울시,중랑구,2021,84.2,77.4,39.4,22.4,15.6,5.1,3.2,1.9,,,,1.7,0.4,,1.3,,
서울시,중랑구,2022,83.5,75.6,39.1,21.0,15.5,5.8,3.5,2.2,,,,2.1,0.5,,1.5,,
서울시,중랑구,2023,79.9,72.0,35.5,20.2,16.3,5.8,3.6,2.2,,,0.0,2.2,0.6,,1.6,,
